Statute,Code,Desc,Count
720-5/17-3(A)(2),Nonviolent,FORGERY/ISSUE/DELIVER DOC,666
720-5/12-4(B)(18),Violent,AGG BTRY/OFFICER/EMPL/GOV,654
720-5/18-2(A)(2),Violent,ARMED ROBBERY/ARMED W/FIR,653
720-5/18-1,Nonviolent,ATTEMPT ROBBERY,601
720-570/404(b),Drug,MFG/DISTRIB LOOK-ALIKE SUB,568
720-550/5(b),Drug,MFG/DEL CANNABIS/2.5-10 GRAMS,554
720-5/31-1(a)(7),Violent,RESIST/OBSTRUCT OFFICER/INJURY,531
720-550/5.2(c),Drug,MFG/DEL CAN 10<30 GRAMS/SCH,522
720-5/12-3.2(a)(1),Violent,DOMESTIC BTRY/BODILY HARM PRI,522
720-5/12-4(B)(6),Violent,AGG BATTERY/PEACE OFF/FIREMAN,521
720-5/12-16(d),Violent,AGG CRIM SEX AB/VIC 13-16,521
720-5/18-4(a)(3),Violent,AGG VEH HIJACKING/WEAPON,498
720-570/402(a)(1)(A),Drug,POSSESS 15<100 GRAMS HEROIN,497
720-5/16G-15(a)(1),Nonviolent,"IDENTITY THEFT $2,000<$10,000",492
720-550/5(g),Drug,"MFG/DEL CANNABIS/>5,000 GRAMS",490
720-570/401(D)(I),Drug,OTHER AMT NARCOTIC SCHED,479
720-5/18-2,Violent,ATTEMPT ARMED ROBBERY,479
720-5/16-1(A)(2),Nonviolent,THEFT/DECEPTION/>$300 <10,472
720-5/11-14(A),Nonviolent,PROSTITUTION/2ND,471
720-5/24-1.2(a)(2),Violent,AGG DISCHARGE FIREARM/OCC VEH,471
720-570/401(a)(2)(D),Drug,MFG/DEL 900+ GR COCAINE/ANLG,466
720-550/4(D),Drug,POSS CANNABIS/30-500 GRAM,465
720-5/18-3(a),Violent,VEHICULAR HIJACKING,458
720-5/18-5,Violent,ATTEMPT( AGGRAVATED ROBBERY ),442
720-5/12-4(A),Violent,AGG BATTERY/GREAT BODILY,439
720-5/24-1.6(A)(1)1),Violent,AGG UNLAWFUL USE OF WEAPON/VEH,438
720-5/18-5(A),Violent,AGGRAVATED ROBBERY,425
720-5/12-4(b)(1),Violent,AGG BATTERY/WEAPON/NO FIREARM,411
625-5/11-501(d)(1)(A),Nonviolent,AGGRAVATED DUI/3RD + DUI,408
720-550/5(e),Drug,MFG/DEL CANNABIS/500<2000 GR,390
720-5/18-2(A)(1),Violent,ARMED ROBBERY/NO FIREARM,386
720-5/12-16(c)(1)(i),Violent,AGG CRIM SEX ABUSE/VIC <13,385
720-570/401(C)(1),Drug,MFG/DEL 1-14 GR HEROIN/AN,383
720-550/5(D),Drug,MFG/DEL CANNABIS/30-500 G,379
720-5/9-2,Violent,2ND DEGREE MURDER,377
15-335/14B(b)(1),Nonviolent,POSS FRAUDULENT ID CARD,367
625-5/11-501(a)(1),Nonviolent,DRVG UNDER INFLU/BAC 0.08,367
720-5/17-1(B)(d),Nonviolent,BAD CHECK/>$150 OR 2ND OFFENSE,356
625-5/11-204.1(A)(1),Nonviolent,AGG FLEEING/21 MPH OVER/2,355
625-5/4-103.2(a)(7)(A),Nonviolent,UNLWFL POSS/DRIVER/VEH/STOLEN,352
625-5/11-204.1(a)(1),Nonviolent,AGG FLEEING/21 MPH OVER/2ND,347
720-5/12-3.3(a),Violent,AGGRAVATED DOMESTIC BATTERY,347
720-5/12-30(a)(1),Nonviolent,VIOLATE ORDER/PRIOR DOM BTRY,344
625-5/11-501(c)(1)(3),Nonviolent,DUI LIC SUSP OR REVOKED/FOURTH,340
720-570/407(b)(3),Drug,NON NARC SCHED I/II/SC/HS/PK,331
720-570/401(A)(2)(A),Drug,MFG/DEL 15<100 GR COCA/AN,323
720-5/20-1(a),Nonviolent,ARSON/REAL/PERSONAL PROP>$150,322
720-250/12,Nonviolent,FALSE INFO/CHARGE SLIP >$150,321
720-5/33A-2,Violent,ARMED VIOL/CATEGORY I WEAPON,318
720-5/16-1(a)(4),Nonviolent,THEFT/STOLEN/>$300 <10K,317
625-5/6-303(A),Nonviolent,DRIVING RVK/SUSP DUI/SSS,317
720-5/16-8,Nonviolent,UNLWFL USE/UNID RECORDING,315
720-5/31A-1.1(b),Drug,POSS CONTROLLED SUB PENAL INST,311
720-5/12-14.1(A)(1),Violent,PREDATORY CRIMINAL SEXUAL ASLT,310
720-5/19-2(a),Nonviolent,POSSESS BURGLARY TOOLS,304
720-5/31-1(a),Violent,DISARMING A PEACE OFFICER,304
720-5/24-1.2(A)(2),Violent,AGG DISCHARGE FIREARM/OCC,285
720-550/5(f),Drug,MANU/DEL CANNABIS/2000<5000 GR,282
625-5/11-501(C)(1)(2),Nonviolent,DUI LIC SUSP OR REVOKED/T,282
720-5/12-4.2(a)(1),Violent,AGG BATTERY W/FIREARM/PERSON,279
720-5/12-4.2,Violent,AGGRAVATED BATTERY W/FIREARM,273
720-570/405.1(\407),Drug,CRIMINAL DRUG CONSPIRACY,271
720-5/24-1.6(A)(2),Violent,AGG UUW/ON PERSON,270
720-5/20-1.1(a)(1),Violent,AGG ARSON/KNOW PEOPLE PRESENT,269
720-5/12-14(a)(2),Violent,AGG CRIM SEX ASLT/BODILY HARM,269
720-570/401,Drug,CRIMINAL DRUG CONSPIRACY,265
625-5/11-401(b),Nonviolent,FAILURE REPORT ACCIDENT/INJURY,264
720-5/12-13(a)(1),Violent,CRIM SEX ASSAULT/FORCE,253
720-550/4(g),Drug,"POSSESS CANNABIS >5,000 GRAMS",251
720-5/12-4(b)(15),Violent,AGG BATTERY/HARM MERCHANT,251
720-570/407,Drug,CRIMINAL DRUG CONSPIRACY,249
720-5/12-3(a)(1),Violent,BATTERY/CAUSE BODILY HARM,249
720-5/16-1(a)(1)(B),Nonviolent,THFT CONTROL KNOW DEPRIVE <300,248
720-570/402(a)(2)(B),Drug,POSSESS 100<400 GRAMS COCAINE,247
720-5/26-1(a)(4),Nonviolent,FALSE REPORT OF OFFENSE,246
720-5/21-4(1)(A),Nonviolent,CRIM DMG/GOVT PROP/>$500-,243
720-5/9-3(a),Violent,INVOLUNTARY MANSLAUGHTER,242
720-5/24-1.5(a),Violent,RECK DISCH FIREARM/ENDANGERS,241
720-5/12-11(a)(2),Violent,HOME INVASION/CAUSE INJURY,235
720-5/12-11(a)(1),Violent,HOME INVASION/ARMED/FORCE,234
720-5/24-1(a)(7)(ii),Nonviolent,"RIFLE <16''/SHOTGUN <18""",231
730-150/3(A),Nonviolent,VIOLATE SEX OFFENDER REGI,230
720-5/33A-2(a),Violent,ARMED VIOLENCE/CATEGORY I,230
720-570/402(A)(2)(A),Drug,POSSESS 15<100 GRAMS COCA,229
720-5/24-1.6(A)(1)3),Violent,AGG UUW/VEHICLE/PREV CONVCTION,219
720-5/12-4.2(A)(1),Violent,AGG BATTERY W/FIREARM/PER,217
720-550/5(C),Drug,MFG/DEL CANNABIS/10-30 GR,216
720-5/12-16(b),Violent,AGG CRIM SEX ABUSE/FAMILY,215
720-5/12-11.1,Nonviolent,UNLAWFUL VEHICULAR INVASION,214
625-5/11-501(a)(2),Nonviolent,DRVG UNDER INFLU OF ALCOHOL,210
720-550/4(b),Drug,POSSESS CANNABIS/2.5-10 GRAMS,209
720-5/24-5(b),Nonviolent,POSS FIREARM W/ DEFACED SER NO,209
720-250/4,Nonviolent,USE CREDIT CARD OF ANOTHER,209
720-5/31-6(a),Nonviolent,FELON FAIL/RETURN FRM FURLOUGH,208
625-5/11-501(C)(1)(3),Nonviolent,DUI LIC SUSP OR REVOKED/F,207
720-5/24-1.7(A),Violent,ARMED HABITUAL CRIMINAL,207
720-5/21-1(1)(A),Nonviolent,KNOW DAMAGE PROP >$300-10,204
720-5/12-4(B)(8),Violent,AGG BATTERY/PUBLIC PLACE,201
720-5/31-4(a),Nonviolent,OBSTRUCT JUST/DESTROY EVIDENCE,198
720-5/32-10,Nonviolent,VIO BAIL BOND/CLASS 2 CONVIC,197
720-5/12-4(B)(1),Violent,AGG BATTERY/WEAPON/NO FIR,197
720-646/60(a),Drug,POSSESSION OF METH< 5 GRAMS,196
15-335/14A(b)(1),Nonviolent,POSS/DISPLAY ALTERED ID CARD,190
720-5/9-1(A)(2),Violent,MURDER/STRONG PROB KILL/I,187
720-570/401(a)(2)(C),Drug,MFG/DEL 400<900 GR COCA/ANLG,185
625-5/11-501(d)(1)(F),Violent,AGG DUI/DEATH OF ANOTHER,185
720-5/16-1(a)(2)(A),Nonviolent,THEFT DECEPTION INTENT 300<10K,184
720-5/12-13(a)(2),Violent,CRIM SEX ASSAULT/CANT CONSENT,179
720-5/10-3,Violent,UNLAWFUL RESTRAINT,178
720-5/9-1(a)(2),Violent,MURDER/STRONG PROB KILL/INJURE,173
720-570/402(a)(2),Drug,POSSESS 15+ GRAMS COCAINE,172
720-5/16G-20(a),Nonviolent,"AGG ID THEFT >$300-$10,000",172
720-5/31A-1.1,Nonviolent,BRING/POSS CONTRA PENAL INST,171
720-570/405.1(\401),Drug,CRIMINAL DRUG CONSPIRACY,170
625-5/11-501(C)(1)1),Nonviolent,DUI LIC SUSPENDED OR REVOKED,169
720-5/9-1(A)(3),Violent,MURDER/OTHER FORCIBLE FEL,169
720-5/12-11(a)(3),Violent,HOME INVASION/ARMED W/FIREARM,168
720-570/401(a)(7.5)(A)(ii),Drug,MFG 15>200 PILLS ECSTASY/ANLG,167
625-5/11-501(d)(1)(C),Violent,AGG DUI/GREAT BODILY HARM,167
720-5/18-4(a)(4),Violent,AGG VEHICLE HIJACKING/FIREARM,165
720-5/12-4.3(a),Violent,AGG BATTERY OF A CHILD,165
720-5/16G-15(A)(1),Nonviolent,IDENTITY THEFT >$2K - $10,164
720-5/12-16(D),Violent,AGG CRIM SEX AB/VIC 13-16,164
720-5/32-5.1,Nonviolent,FALSE PERSONATION OF POLICE,162
720-570/401(e),Drug,OTHER NON-NARCOTIC SCHED I&II,161
720-5/24-1(a)(10),Nonviolent,CARRY/POSSES FIREARM IN PUBLIC,160
720-5/12-14(A)(2),Violent,AGG CRIM SEX ASLT/BODILY,158
720-5/18-2(A)1),Violent,ATT(ARMED ROBBERY W/DANGEROUS,155
720-5/16G-15(a)(4),Nonviolent,ID THEFT/KNOW STOLEN,150
720-5/21-1.3(a),Nonviolent,CRIMINAL DEFACEMENT PROP >$300,150
720-570/401(C)(1)1),Drug,MANUEL/DEL 1-15GR HEROIN/ANALO,146
720-5/19-4(a),Nonviolent,CRIM TRESPASS TO RESIDENCE,145
625-5/11-501(D)(1)(A),Nonviolent,AGGRAVATED DUI/3RD + DUI,144
720-5/16-1(a)(4)(A),Nonviolent,THEFT/STOLEN/INTENT/>$300/1ST,144
720-5/12-11(A)(2),Violent,HOME INVASION/CAUSE INJUR,144
720-5/16-1(A)(1)(A),Nonviolent,THEFT CONTROL INTENT $300,142
720-5/12-11(A)(3),Violent,HOME INVASION W/FIREARM,142
720-5/31-6(c),Nonviolent,FELON ESCAPE/PEACE OFFICER,140
720-5/12-3.2(A)(1),Violent,DOMESTIC BTRY/BODILY HARM,139
720-550/4(e),Drug,"POSS CANNABIS/500<2,000 GRAMS",135
720-550/5.2(D),Drug,MFG/DEL CAN 2.5<10 GRAMS/,134
720-5/11-6(a),Nonviolent,INDECENT SOL/AGG CRIM SEX AB,132
720-5/12-30(A)(1),Nonviolent,VIO ORDER/PRIOR VIO OF OR,130
720-5/11-20.1(a)(6),Nonviolent,CHILD PORN/POSS FILM/PHOTOS,128
720-5/16G-15(a),Nonviolent,"FINANCIAL ID THEFT $300<$2,000",126
720-5/12-14(A)(1),Violent,AGG CRIM SEX ASSAULT/WEAP,126
720-5/16-1,Nonviolent,ATT (THEFT),125
720-5/12-14(a)(1),Violent,AGG CRIM SEX ASSAULT/WEAPON,125
720-5/12-11(A)(1),Violent,HOME INVASION/ARMED/FORCE,123
625-5/11-401(a),Violent,ACCIDENT INJURY/DEATH/11-403,122
720-5/12-14(a)(4),Violent,AGG CRIM SEX ASSAULT/FELONY,119
720-646/55(a)(1),Drug,METH DELIVERY<5 GRAMS,118
720-550/5.2(b),Drug,MFG/DEL CAN 30<500 GRAMS/SCH,118
720-5/12-3.3(A),Violent,AGGRAVATED DOMESTIC BATTE,118
720-5/16G-15(a)(2),Nonviolent,IDENTITY THEFT/FELONY THEFT,115
720-570/402(a)(1),Nonviolent,POSSESS 15+ GRAMS HEROIN,114
720-5/12-4(b)(10),Drug,AGG BATTERY/INDIV OVER 60 YRS,113
720-5/18-4(A)(3),Violent,AGG VEH HIJACKING/WEAPON,112
625-5/11-204.1(A)(4),Nonviolent,AGG FLEEING/2+ CON DEVICE,110
720-5/12-13(A)(1),Violent,CRIM SEX ASSAULT/FORCE,109
720-5/32-4a(a)(2),Nonviolent,HARASS WITNESS,108
720-5/24-5(a),Nonviolent,DEFACE FIREARM ID MARKINGS,103
720-5/24-3.1(a)(1),Nonviolent,UNLAWFUL POSSESSION OF HANDGUN,103
720-5/12-4(b)(9),Violent,AGG BATTERY/TRANSP EMP/PASS,103
720-5/19-1A,Nonviolent,ATTEMPT BURGLARY,100
15-335/14B(B)(1),Nonviolent,POSS FRAUDULENT ID CARD,99
625-5/4-103.2(A)(7)(A),Nonviolent,UNLWFL POSS/DRIVER/VEH/ST,99
720-5/12-3(a)(2),Violent,BATTERY/MAKES PHYSICAL CONTACT,99
625-5/6-301.2(b)(1),Nonviolent,KNOW POSS/FRAUD/DL/PERMIT,98
720-5/33A-2(A),Violent,ARMED VIOLENCE/CATEGORY I,98
720-5/12-16(C)(1)(I),Violent,AGG CRIM SEX ABUSE/VIC <1,98
720-5/11-14(A)2),Nonviolent,PROSTITUTION\2ND,97
720-5/17-3(a)(3),Nonviolent,FORGERY/POSSESS WITH INTENT,96
720-5/12-15(a)(2),Violent,CRIM SEXUAL ABUSE/CANT CONSENT,96
625-5/4-103.2(a)(3),Nonviolent,"POSS STOLEN VEHICLE > $25,000",95
720-5/16H-50,Nonviolent,CONT FINANCIAL CRIMES ENTRPRS,92
720-5/16A-3(d),Nonviolent,RET THEFT/UNDER-RING/>$150,92
720-5/12-4.6(a),Violent,AGG BATTERY SR CITIZEN >60 YRS,92
720-5/24-1(A)(4),Nonviolent,CARRY/POSSESS FIREARM SCH,91
720-5/19-2(A),Nonviolent,POSSESS BURGLARY TOOLS,91
720-5/12-14(A)(4),Violent,AGG CRIM SEX ASSAULT/FELO,89
720-5/16-1.3(a),Nonviolent,FIN EXPLT ELD/DISABLED>300-5K,88
720-5/16-7(a)(2),Nonviolent,UNLAWFUL USE REC SOUND/SELL,88
720-5/19-4(a)(2),Nonviolent,CRIM TRES TO RES/PERS PRESENT,86
720-5/12-3.2(a)(2),Violent,DOMESTIC BTRY/ CONTACT/PRIOR,85
720-570/402(a)(2)(D),Drug,POSSESS 900 + GRAMS COCAINE,84
720-5/26-1(a)(1),Nonviolent,DISORDERLY CONDUCT,84
15-335/14A(B)(1),Nonviolent,POSS/DISPLAY ALTERED ID C,84
720-5/21-3(a),Nonviolent,CRIMINAL TRESPASS TO LAND,84
720-5/12-2(a)(6),Violent,AGG ASSAULT/OFFICER/FIREARM,84
720-550/5(E),Drug,MFG/DEL CANNABIS/500<2000,83
720-5/31-1,Nonviolent,RESIST/OBSTRUCT PEACE OFFICER,82
720-5/24-5(B),Nonviolent,POSS FIREARM W/ DEFACED S,82
720-5/9-2(a)(2),Violent,2ND DEGREE MURDER/UNREASON,81
720-570/405.1(407B2),Drug,CRIM DRUG CONS(AMT NARC SCHED,79
720-5/32-5.2,Nonviolent,AGG FALSE PERSONATION POLICE,79
720-5/16-1(b)(4),Nonviolent,THEFT >$300-$10K,79
720-5/16A-10(2),Nonviolent,THEFT <$150/PREV FEL CONVIC,78
720-5/25-1(a)(1),Nonviolent,MOB ACTION/FORCE/2+ PERSONS,78
720-570/401(A)(2)(B),Drug,MFG/DEL 100<400 GR COCA/A,77
720-5/18-3(A),Nonviolent,VEHICULAR HIJACKING,77
720-5/11-9.3(b)(5),Nonviolent,CHILD SEX OFFENDER/RESIDE 500',77
625-5/6-301.2(B)(1),Nonviolent,KNOW POSS/FRAUD/DL/PERMIT,77
720-5/10-2(A)(3),Violent,AGG KIDNAPING/INFLICT HAR,77
720-5/10-2(a)(6),Violent,AGG KIDNAPING ARMED W/FIREARM,77
720-5/10-3.1(a),Violent,AGGRAVATED UNLAWFUL RESTRAINT,77
625-5/11-401(B),Nonviolent,FAIL REPORT ACCIDENT/DEAT,76
720-570/402(a)(2)(C),Drug,POSSESS 400<900 GRAMS COCAINE,75
720-5/16A-3(F),Nonviolent,RETAIL THEFT/RETURN>$150,75
720-570/406(b)(3),Nonviolent,OBTAIN SUBSTANCE BY FRAUD/1ST,75
720-5/9-3(A),Violent,RECKLESS HOMICIDE .08 ALC/DRUG,75
625-5/11-501(D)(1),Nonviolent,AGGRAVATED DUI/3RD+ DUI,74
720-5/20-1(A),Nonviolent,ARSON/REAL/PERSONAL PROP>,73
720-5/16A-3(f),Nonviolent,RETAIL THEFT/RETURN<$150/2D,72
730-150/10,Nonviolent,SEX OFFENDER REGIS/FALSE INFO,72
720-5/9-1(a)(3),Violent,MURDER/OTHER FORCIBLE FELONY,72
720-5/12-4(B)(15),Violent,AGG BATTERY/HARM MERCHANT,72
720-5/625-5(/4)(103)(A)(1),Nonviolent,ATT RECEIVE/POSS/SELL STOLEN V,71
720-5/31-1(A)(7),Nonviolent,RESIST/OBSTRUCT OFFICER/I,71
730-5/5-8A(4.1)(A),Nonviolent,ESCAPE/VIOLATE ELEC MONIT,71
720-5/24-1.5(A),Violent,RECK DISCH FIREARM/ENDANG,70
720-5/12-6(a)(1),Violent,INTIMIDATION/PHYSICAL HARM,70
720-5/24-1.2(a)(1),Violent,AGG DISCHARGE FIREARM/OCC BLDG,70
720-570/402,Drug,CRIMINAL DRUG CONSPIRACY,69
720-250/16,Nonviolent,POSS COUNTERFEIT CREDIT CARD,69
720-5/16-1(A)(4),Nonviolent,THEFT/STOLEN/>$300 <10K,69
720-5/16G-15(A),Nonviolent,"FIN ID THEFT $10,000<$100",69
720-5/33-3(b),Nonviolent,OFFL MISCONDUCT/FORBIDDEN ACT,69
720-5/12-14(A)(3),Violent,AGG CRIM SEX ASLT/THREAT,69
720-5/24-1(A)(7)(II),Nonviolent,"RIFLE <16''/SHOTGUN <18""",68
720-5/31-4(A),Nonviolent,OBSTRUCT JUST/DESTROY EVI,68
305-5/8A-3(a),Nonviolent,VENDOR FRD/FALSE STMT $10000+,68
720-5/12-4(b)(7),Violent,AGG BTRY/FIRST AID PERSONNEL,67
720-5/12-4.3(A),Violent,AGG BATTERY OF A CHILD,67
720-570/401(a)(1)(B),Drug,MFG/DEL 100<400 GR HERO/ANLG,66
720-5/16H-25(1),Nonviolent,FIN INSTITUTION FRAUD/>300-10K,66
720-5/10-2(A)(1),Violent,AGGRAVATED KIDNAPING/RANS,66
720-135/1-1,Nonviolent,HARASSMENT BY TELEPHONE/4TH +,65
720-5/21-1.3(A),Nonviolent,CRIMINAL DEFACEMENT PROP,65
720-5/18-4(A)(4),Violent,AGG VEHICLE HIJACKING/FIREARM,65
720-5/24-1.6(A)(2)1),Violent,AGG UNLAWFUL USE OF WEAPON/PER,64
720-570/402(a)(7.5)(A)(ii),Drug,POSS 15>200 PILLS ECSTASY/ANLG,63
720-5/17-6,Nonviolent,STATE BENEFITS FRAUD/>$300,63
720-5/16A-3(b),Nonviolent,RET THEFT/SWTCH PRICE<$150/1ST,63
720-5/12-13(a)(3),Violent,CRIM SEX ASSAULT/FAMILIES,63
720-570/404(B),Drug,MFG/DISTRIB LOOK-ALIKE SU,60
720-5/31A-1.1(B),Drug,POSS CONTROLLED SUB PENAL INST,59
625-5/11-204.1,Nonviolent,AGG FLEEING POLICE/2ND,59
720-5/26-1(A)(4),Nonviolent,FALSE REPORT OF OFFENSE,59
720-5/10-2(a)(3),Violent,AGG KIDNAPING/INFLICT HARM,59
720-5/12-15(a)(1),Violent,CRIMINAL SEXUAL ABUSE FORCE,59
720-5/16-1(a)(3),Nonviolent,THEFT/THREAT/PRIOR CONVICTION,58
430-65/3(a),Nonviolent,ILLEGAL TRANSFER FIREARMS,58
720-5/18-2(A)2),Violent,ATT(ARMED ROBBERY/W/FIREARM),58
720-5/10-2(a)(5),Violent,AGGRAVATED KIDNAPING/ARMED,58
720-5/9-2(a)(1),Violent,2ND DEGREE MURDER/PROVOCATION,58
625-5/11-501(D)(1)A1),Nonviolent,AGG DUI/3RD+,57
720-550/5.2(C),Drug,MFG/DEL CAN 10<30 GRAMS/S,56
720-5/10-2(a)(2),Nonviolent,AGG KIDNAPG/CHILD<13/RETARDED,56
720-5/18-3,Nonviolent,AGGRAVATED ROBBERY,56
720-5/32-4(b),Nonviolent,COMMUNICATE/DETAIN WITNESS,56
720-5/16-1(a)(3)(A),Nonviolent,THEFT/THREAT/INTENT/<$300/1ST,56
720-250/5,Nonviolent,POSS CREDIT CARD OF ANOTHER,56
720-5/16A-3,Nonviolent,THEFT,55
720-570/401(A)(1)(A),Drug,MFG/DEL 15<100 GR HEROIN/ANLG,54
720-5/16-1(A)(3)(A),Nonviolent,THEFT THREAT INTENT <$300,54
720-5/12-7.1,Violent,HATE CRIME,54
720-5/16G-15(A)(2),Nonviolent,IDENTITY THEFT/USES ID IN,53
720-5/12-5,Nonviolent,RECKLESS CONDUCT,53
720-550/4(C),Drug,POSS CANNABIS/10-30 GRAM/,52
720-5/16-16(a),Nonviolent,POSSESSION OF STOLEN FIREARM,52
720-5/16H-55,Nonviolent,ORGANIZER/FIN CRIMES ENTRPRS,52
720-5/12-14(a)(3),Violent,AGG CRIM SEX ASLT/THREAT LIFE,52
